game,rating,platform,genre,release
Lara Croft and The Guardian of Light,12,XBOX 360 Live Arcade,Action,2010-09-01
Lara Croft and The Guardian of Light - Expansion pack for Kain & Raziel,12,PC,Action,2011-01-24
Lara Croft and The Guardian of Light - Expansion pack for Kain & Raziel,12,Playstation 3,Action,2011-01-24
Lara Croft and The Guardian of Light - Expansion pack for Kain & Raziel,12,XBOX 360 Live Arcade,Action,2011-01-24
Lara Croft and the Guardian of Light - Expansion pack ft. Kane & Lynch,12,PC,Action,2010-12-30
Lara Croft and the Guardian of Light - Expansion pack ft. Kane & Lynch,12,PlayStation Network,Action,2010-12-30
Lara Croft and the Guardian of Light - Expansion pack ft. Kane & Lynch,12,XBOX 360 Live Arcade,Action,2010-12-31
Lara Croft and the Temple of Osiris,12,PC,Action,2014-12-09
Lara Croft and the Temple of Osiris,12,PlayStation 4,Action,2014-12-09
Lara Croft and the Temple of Osiris,12,Xbox One,Action,2014-12-09
Lara Gates - The Lost Talisman,7,PC,Puzzle,2014-10-30
Las Vegas Casino Player's Collection,3,PC,Board / Card,2004-02-05
Laser Disco Defenders,7,PlayStation Vita,Action,2016-07-04
Laserlife,7,PC,Action,2015-09-16
Laserlife,7,PlayStation 4,Action,2015-09-16
Laserlife,7,Xbox One,Action,2015-09-16
LasseMajas Detektivbyrå,3,Macintosh,Adventure,2006-11-08
LasseMajas Detektivbyrå,3,PC,Adventure,2006-11-08
Lassie,3,Playstation 2,Adventure,2007-09-14
Last Half of Darkness: Society of the Serpent Moon,7,PC,Adventure,2012-05-25
Last Half of Darkness: Tomb of Zojir,7,PC,Adventure,2010-12-10
Last King of Africa,7,Nintendo DS,Adventure,2008-10-23
Last Rebellion,12,Playstation 3,RPG,2010-03-26
Last Window: The Secret of Cape West,12,Nintendo DS,Adventure,2010-09-17
Last Wings,3,PC,Action,2017-03-10
Last Wings,3,PlayStation 4,Action,2016-10-19
Last Wings,3,PlayStation Vita,Action,2016-11-06
Last Wings,3,Xbox One,Action,2016-11-08
Late Shift,18,PlayStation 4,Action,2017-04-18
Late Shift,18,Xbox One,Action,2017-04-13
Laura Jones,3,PC,Other,2008-09-20
Laura Jones 2,3,PC,Other,2009-07-24
Law & Order,12,PC,Adventure,2003-06-06
Law & Order Criminal Intent,12,PC,Action,2006-09-01
Law & Order: Double or Nothing,12,PC,Adventure,2003-11-12
Law and Order Justice is Served,12,PC,Adventure,2006-08-30
Law and Order: Legacies,12,PC,Adventure,2012-09-19
LawBreakers,16,PC,Action,2017-08-08
LawBreakers,16,PlayStation 4,Action,2017-08-08
Lawn and Order - Die Gartenprofis,3,PC,Simulation,2013-02-22
Layers of Fear,16,PC,Adventure,2016-02-16
Layers of Fear,16,PlayStation 4,Adventure,2016-02-16
Layers of Fear,16,Xbox One,Adventure,2016-02-16
Layers of Fear Preview,16,Xbox One,Other,2015-10-27
Lazy Raiders,3,XBOX 360 Live Arcade,Other,2010-02-12
Le Bistro,3,PC,Puzzle,2009-01-26
Le Mystère de la Momie*,12,PC,Adventure,2003-02-12
Le Tour de France 2009 The Official Game,3,XBOX 360 Live Arcade,Sports,2009-06-18
Le Tour de France 2011,3,Playstation 3,Racing,2011-06-16
Le Tour de France 2011,3,XBox 360,Racing,2011-06-16
Le Tour de France 2012,3,Playstation 3,Sports,2012-06-29
Le Tour de France 2012,3,XBox 360,Sports,2012-06-29
Le Trésor d'Alkaïm : Aventures en Arabie,7,PC,Adventure,2004-04-16
Le avventure di Lupin III: Il tesoro del Re Stregone,12,Playstation 2,Adventure,2005-06-16
Le sanglot des cigales,7,PC,Other,2009-10-30
Le sanglot des cigales ~cycle des énigmes~,7,PC,Other,2010-05-29
Le trésor des dauphins,3,Nintendo DS,Adventure,2012-06-14
Lead The Meerkats,3,Nintendo Wii – WiiWare,Strategy,2010-05-01
Lead and Gold - Gangs of the Wild West,16,PC,Action,2010-04-08
Lead and Gold - Gangs of the Wild West,16,PlayStation Network,Action,2010-04-15
Leaderboard Golf,3,PC,Sports,2006-08-25
Leaderboard Golf,3,Playstation 2,Sports,2006-03-31
League Series Baseball 2,12,Playstation 2,Sports,
League of Heroes,7,Nintendo 3DS,Action,2014-12-20
League of Legends,12,PC,RPG,2009-10-30
League of Light: Dunkles Omen,12,PC,Puzzle,2014-02-12
League of Mermaids: Schätze der Tiefsee,3,PC,Puzzle,2014-03-19
Learn to Play Chess with Fritz and Chesster,3,Nintendo DS,Educational,2008-10-10
Learn with Pokémon: Typing Adventure,3,Nintendo DS,Educational,2012-09-21
Learning with the PooYoos - Episode 1,3,Nintendo Wii – WiiWare,Educational,2009-09-02
Learning with the PooYoos - Episode 1,3,Playstation 3,Educational,2011-03-23
Learning with the PooYoos - Episode 2,3,Nintendo Wii – WiiWare,Educational,2010-03-01
Learning with the PooYoos - Episode 3,3,Nintendo Wii – WiiWare,Action,2010-07-30
Leedmees,3,XBox 360,Puzzle,2011-09-07
Leeperz,3,PlayStation 4,Racing,2015-07-31
Left 4 Dead,18,PC,Action,2008-11-07
Left 4 Dead,18,XBox 360,Action,2008-11-07
Left 4 Dead 2,18,PC,Action,2009-11-17
Left 4 Dead 2,18,XBox 360,Action,2009-11-17
Left Brain Right Brain 2,7,Nintendo DS,Puzzle,2009-03-06
Left in the Dark: No one Onboard,7,PC,Puzzle,2014-05-30
Left or Right : Ambidextrous Challenge,3,Nintendo DS,Puzzle,2007-11-16
Left to Die in Zombhai,16,Sony PSP,Action,2011-02-16
Legacy Tales: Mercy of the Gallows,7,PC,Puzzle,2013-08-26
Legacy of Kain: Defiance,16,PC,Adventure,2004-02-06
Legacy of Kain: Defiance,16,Playstation 2,Adventure,2004-02-06
Legacy of Kain: Defiance,16,XBox,Adventure,2004-02-06
Legacy of Kain: Soul Reaver,16,Playstation 3,Action,2011-06-06
Legaia 2,12,PlayStation 4,Action,2016-10-01
Legasista,12,Playstation 3,Action,2012-08-22
Legend  Hand of God,16,PC,Action,2007-10-12
Legend of Camelot,3,Playstation 2,Other,2007-12-07
Legend of Herkules,3,Playstation 2,Other,2004-01-23
Legend of Hero Tonma,7,Nintendo Wii - Virtual Console,Action,2007-09-28
Legend of Kay,3,Nintendo DS,Adventure,2010-06-04
Legend of Kay,12,Playstation 2,Adventure,2004-11-15
Legend of Kay Anniversary,12,Nintendo Wii U,Adventure,2015-06-12
Legend of Kay Anniversary,12,PC,Adventure,2015-06-12
Legend of Kay Anniversary,12,PlayStation 4,Adventure,2015-06-12
Legend of Kay Anniversary,12,Playstation 3,Adventure,2015-06-12
Legend of Kay Anniversary,12,XBox 360,Adventure,2015-06-12
Legend of Korra,12,PC,Action,2014-10-31
Legend of Korra,12,PlayStation 4,Action,2014-10-31
Legend of Korra,12,Playstation 3,Action,2014-10-31
Legend of Korra,12,XBox 360,Action,2014-10-31
Legend of Korra,12,Xbox One,Action,2014-10-31
Legend of Luwa,3,PC,RPG,2006-05-14
Legend of Mir 3,12,PC,RPG,2004-09-01
Legend of Sayuki,7,Nintendo Wii,Action,2008-05-19
Legend of Sayuki,7,Playstation 2,Action,2008-05-09
Legend of the Dragon,12,Nintendo Wii,Action,2007-06-08
Legend of the Dragon,7,PC,Action,2006-12-15
Legend of the Dragon,12,Playstation 2,Action,2007-04-27
Legend of the Dragon,12,Sony PSP,Action,2007-04-27
Legend of the Guardians: The Owls of Ga'Hoole,12,Nintendo DS,Action,2010-09-17
Legend of the Guardians: The Owls of Ga'Hoole,12,Nintendo Wii,Action,2010-09-17
Legend of the Guardians: The Owls of Ga'Hoole,12,Playstation 3,Action,2010-09-17
Legend of the Guardians: The Owls of Ga'Hoole,12,XBox 360,Action,2010-09-17
Legend of the Mystical Ninja,7,Nintendo Wii - Virtual Console,Action,2007-04-20
Legend of the River King,3,Nintendo 3DS,Simulation,2013-03-07
Legend of the River King 2,3,Nintendo 3DS,Simulation,2014-10-23
Legendary Leaders Quad Pack,3,PC,Puzzle,2013-09-20
Legendary Wars: T-Rex Rumble,12,Nintendo DSi - DSiWare,Strategy,2010-06-22
Legendary Wings,7,Playstation 3,Action,2013-02-06
Legendary Wings,7,XBox 360,Action,2013-02-06
Legends Of War,16,PlayStation Vita,Strategy,2013-04-05
Legends Of War,16,Playstation 3,Strategy,2012-09-28
Legends Of War,16,Playstation 3,Strategy,2012-09-28
Legends Of War,16,XBox 360,Strategy,2013-02-11
Legends of Aethereus,16,PC,RPG,2013-11-01
Legends of Atlantis Exodus,3,PC,Puzzle,2013-05-17
Legends of Eisenwald,16,PC,Strategy,2015-09-14
Legends of Exidia,7,Nintendo DSi - DSiWare,RPG,2010-01-31
Legends of Norrath: Against The void,7,PC,Board / Card,2009-02-23
Legends of Norrath: Ethernauts,7,PC,Board / Card,2008-10-24
Legends of Norrath: Forsworn,7,PC,Action,2007-12-18
Legends of Norrath: Inquisitor,7,PC,Board / Card,2008-03-07
Legends of Norrath: Oathbound,7,PC,Board / Card,2007-12-14
Legends of Norrath: Oathbreaker,7,PC,Action,2008-06-19
Legends of Oz: Dorothy's Return,3,Nintendo 3DS,Puzzle,2014-05-23
Legends of Pegasus,12,PC,Strategy,2012-07-26
Legends of Persia,16,PC,RPG,2014-11-27
Legends of War: Patton's Campaign,16,Sony PSP,Strategy,2010-10-15
Legends of the Wild West: Golden Hill,3,PC,Other,2010-02-04
Legion Arena,12,PC,Strategy,2005-10-28
Lego Batman 2: DC Super Heroes,7,Nintendo 3DS,Action,2012-06-21
Lego Batman 2: DC Super Heroes,7,Nintendo DS,Action,2012-06-22
Lego Batman 2: DC Super Heroes,7,Nintendo Wii,Action,2012-06-22
Lego Batman 2: DC Super Heroes,7,Nintendo Wii U,Action,2013-05-24
Lego Batman 2: DC Super Heroes,7,PC,Action,2012-06-22
Lego Batman 2: DC Super Heroes,7,PlayStation Vita,Action,2012-06-22
Lego Batman 2: DC Super Heroes,7,Playstation 3,Action,2012-06-22
Lego Batman 2: DC Super Heroes,7,XBox 360,Action,2012-06-22
Lego Harry Potter: Years 1-4,7,Nintendo DS,Adventure,2010-06-25
Lego Harry Potter: Years 1-4,7,Nintendo Wii,Adventure,2010-06-25
Lego Harry Potter: Years 1-4,7,PC,Adventure,2010-06-25
Lego Harry Potter: Years 1-4,7,PlayStation 4,Adventure,2016-09-15
Lego Harry Potter: Years 1-4,7,Playstation 3,Adventure,2010-06-25
Lego Harry Potter: Years 1-4,7,Playstation 3,Action,2010-11-11
Lego Harry Potter: Years 1-4,7,Sony PSP,Adventure,2010-06-25
Lego Harry Potter: Years 1-4,7,Sony PSP Go,Adventure,2010-06-25
Lego Harry Potter: Years 1-4,7,XBox 360,Adventure,2010-06-25
Lego Harry Potter: Years 1-4,7,XBox 360,Adventure,2010-11-11
Lego Harry Potter: Years 1-4 Collector's Edition,7,Nintendo Wii,Action,2010-06-25
Lego Harry Potter: Years 1-4 Collector's Edition,7,Playstation 3,Action,2010-06-25
Lego Harry Potter: Years 1-4 Collector's Edition,7,XBox 360,Action,2010-06-25
Lego Harry Potter: Years 5-7,7,Nintendo 3DS,Action,2011-11-18
Lego Harry Potter: Years 5-7,7,Nintendo DS,Action,2011-11-18
Lego Harry Potter: Years 5-7,7,Nintendo Wii,Action,2011-11-18
Lego Harry Potter: Years 5-7,7,PC,Action,2011-11-18
Lego Harry Potter: Years 5-7,7,PlayStation 4,Action,2016-09-15
Lego Harry Potter: Years 5-7,7,PlayStation Vita,Action,2012-03-09
Lego Harry Potter: Years 5-7,7,Playstation 3,Action,2011-11-18
Lego Harry Potter: Years 5-7,7,Sony PSP - PSP GO,Action,2011-11-18
Lego Harry Potter: Years 5-7,7,XBox 360,Action,2011-11-18
Lego Indiana Jones - The Original Adventures,7,Nintendo Wii,Action,2008-07-01
Lego Indiana Jones - The Original Adventures,7,PC,Action,2008-07-01
Lego Indiana Jones - The Original Adventures,7,Playstation 2,Action,2008-07-01
Lego Indiana Jones - The Original Adventures,7,Playstation 3,Action,2008-07-01
Lego Indiana Jones - The Original Adventures,7,Sony PSP,Action,2008-07-01
Lego Indiana Jones - The Original Adventures,7,XBox 360,Action,2008-07-01
Lego Indiana Jones 2,7,Nintendo DS,Action,2009-11-10
Lego Indiana Jones 2,7,Sony PSP,Action,2009-11-09
Lego Indiana Jones 2: The Adventure Continues,7,Nintendo Wii,Adventure,2009-11-19
Lego Indiana Jones 2: The Adventure Continues,7,PC,Adventure,2009-11-20
Lego Indiana Jones 2: The Adventure Continues,7,Playstation 3,Adventure,2009-11-20
Lego Indiana Jones 2: The Adventure Continues,7,XBox 360,Adventure,2009-11-20
Lego Indiana Jones The Original Adventures,7,Nintendo DS,Action,2008-06-06
Lego Minifigures Online,7,Mobile,RPG,2014-09-29
Lego Minifigures Online,7,PC,RPG,2014-09-30
Lego Pirates of the Caribbean,7,Nintendo 3DS,Action,2011-05-20
Lego Pirates of the Caribbean,7,Nintendo DS,Action,2011-05-19
Lego Pirates of the Caribbean,7,Nintendo Wii,Action,2011-05-17
Lego Pirates of the Caribbean,7,PC,Action,2011-05-16
Lego Pirates of the Caribbean,7,Playstation 3,Action,2011-05-18
Lego Pirates of the Caribbean,7,Sony PSP - PSP GO,Action,2011-05-20
Lego Pirates of the Caribbean,7,XBox 360,Action,2011-05-19
Lego Star Wars 3,7,Nintendo DS,Action,2011-03-25
Lego Star Wars 3: The Clone Wars,7,Nintendo 3DS,Action,2011-03-25
Lego Star Wars 3: The Clone Wars,7,Nintendo Wii,Action,2011-03-25
Lego Star Wars 3: The Clone Wars,7,PC,Action,2011-03-25
Lego Star Wars 3: The Clone Wars,7,Playstation 3,Action,2011-03-25
Lego Star Wars 3: The Clone Wars,7,Sony PSP - PSP GO,Action,2011-03-25
Lego Star Wars 3: The Clone Wars,7,XBox 360,Action,2011-03-25
Lego Star Wars: The Complete Saga,3,Nintendo Wii,Adventure,2007-11-09
Lego Star Wars: The Complete Saga,3,PC,Adventure,2009-10-01
Lego Star Wars: The Complete Saga,3,Playstation 3,Adventure,2007-11-09
Lego Star Wars: The Complete Saga,3,XBox 360,Adventure,2007-11-08
Lego® Star Wars™ II: The Original Trilogy,3,Game Boy Advance,Action,2006-09-12
Lego® Star Wars™ II: The Original Trilogy,3,GameCube,Action,2006-09-12
Lego® Star Wars™ II: The Original Trilogy,3,PC,Action,2006-09-12
Lego® Star Wars™ II: The Original Trilogy,3,Playstation 2,Action,2006-09-12
Lego® Star Wars™ II: The Original Trilogy,3,Sony PSP,Action,2006-09-12
Lego® Star Wars™ II: The Original Trilogy,3,XBox,Action,2006-09-12
Lego® Star Wars™ II: The Original Trilogy,3,XBox 360,Action,2006-09-12
Lego® Star Wars™ II: The Original Trilogy Demo,3,PC,Action,2006-08-04
Lego® Star Wars™ II: The Original Trilogy Demo,3,Playstation 2,Action,2006-08-04
Leisure Suit Larry Collection,16,PC,Adventure,2007-09-07
Leisure Suit Larry: Box Office Bust,16,PC,Adventure,2009-03-25
Leisure Suit Larry: Box Office Bust,16,Playstation 3,Adventure,2009-03-25
Leisure Suit Larry: Box Office Bust,16,XBox 360,Adventure,2009-03-25
Leisure Suit Larry: Magna Cum Laude,18,PC,Adventure,2004-10-08
Leisure Suit Larry: Magna Cum Laude,18,Playstation 2,Adventure,2004-10-08
Leisure Suit Larry: Magna Cum Laude,18,XBox,Adventure,2004-10-08
Lek och Lär - Förskolan,3,PC,Racing,2003-08-06
Lek och Lär - Skolstart,3,PC,Racing,2003-08-06
Lek och Lär Andra klass,3,PC,Racing,2003-11-15
Lek och Lär Första klass,3,PC,Racing,2003-11-15
Lek och Lär Tidsresan,3,PC,Racing,2004-08-04
Lek och Lär Vilda djur,3,PC,Racing,2004-08-04
Lemmings,3,PlayStation Network,Puzzle,2007-03-23
Lemmings,3,Playstation 2,Puzzle,2006-10-13
Lemmings,3,Sony PSP,Puzzle,2006-02-08
Lemmings Revolutions,3,PC,Puzzle,2004-11-04
Lemmings Touch,3,PlayStation Vita,Puzzle,2014-04-30
Lemony Snicket's A Series of Unfortunate Events,3,Game Boy Advance,Adventure,2004-11-26
Lemony Snicket's A Series of Unfortunate Events,3,GameCube,Adventure,2004-11-26
Lemony Snicket's A Series of Unfortunate Events,3,PC,Adventure,2004-11-26
Lemony Snicket's A Series of Unfortunate Events,3,Playstation 2,Adventure,2004-11-26
Lemony Snicket's A Series of Unfortunate Events,3,XBox,Adventure,2004-11-26
Leo's Fortune,3,PC,Adventure,2015-08-12
Leo's Fortune,3,PlayStation 4,Adventure,2015-08-12
Leo's Fortune,3,Xbox One,Adventure,2015-08-12
Lernabenteuer mit Felix,3,Nintendo DS,Educational,2010-03-31
Lernerfolg Grundschule - Deutsch,3,Nintendo DS,Educational,2009-10-15
Lernerfolg Grundschule Deutsch,3,Nintendo DS,Action,2011-05-16
Lernerfolg Grundschule Deutsch Klasse 1,3,Nintendo Wii – WiiWare,Educational,2011-03-01
Lernerfolg Grundschule Deutsch Klasse 1-4,3,Nintendo Wii,Educational,2010-10-07
Lernerfolg Grundschule Deutsch Klasse 2,3,Nintendo Wii – WiiWare,Educational,2011-03-01
Lernerfolg Grundschule Deutsch Klasse 3,3,Nintendo Wii – WiiWare,Educational,2011-03-01
Lernerfolg Grundschule Deutsch Klasse 4,3,Nintendo Wii – WiiWare,Educational,2011-03-01
"Lernerfolg Grundschule Deutsch, Klasse 1",3,Nintendo DSi - DSiWare,Educational,2011-03-28
"Lernerfolg Grundschule Deutsch, Klasse 2",3,Nintendo DSi - DSiWare,Educational,2011-03-28
"Lernerfolg Grundschule Deutsch, Klasse 3",3,Nintendo DSi - DSiWare,Educational,2011-03-28
"Lernerfolg Grundschule Deutsch, Klasse 4",3,Nintendo DSi - DSiWare,Educational,2011-03-28
Lernerfolg Grundschule Deutsch: Der Rechtschreibtrainer,3,Nintendo DS,Educational,2010-09-24
Lernerfolg Grundschule Englisch,3,Nintendo DS,Educational,2008-10-16
Lernerfolg Grundschule Englisch,3,Nintendo DS,Educational,2011-05-27
Lernerfolg Grundschule Englisch Klasse 1,3,Nintendo Wii – WiiWare,Educational,2011-03-01
Lernerfolg Grundschule Englisch Klasse 1-4,3,Nintendo Wii,Educational,2010-10-15
Lernerfolg Grundschule Englisch Klasse 2,3,Nintendo Wii – WiiWare,Educational,2011-03-01
Lernerfolg Grundschule Englisch Klasse 3,3,Nintendo Wii – WiiWare,Educational,2010-11-19
Lernerfolg Grundschule Englisch Klasse 4,3,Nintendo Wii – WiiWare,Educational,2011-03-01
Lernerfolg Grundschule Englisch Vokabeltrainer,3,Nintendo DS,Educational,2010-09-23
"Lernerfolg Grundschule Englisch, Klasse 1",3,Nintendo DSi - DSiWare,Educational,2011-03-28
"Lernerfolg Grundschule Englisch, Klasse 3",3,Nintendo DSi - DSiWare,Educational,2011-03-28
"Lernerfolg Grundschule Englisch, Klasse 4",3,Nintendo DSi - DSiWare,Educational,2011-03-28
"Lernerfolg Grundschule Englisch, Klasse2",3,Nintendo DSi - DSiWare,Educational,2011-03-28
Lernerfolg Grundschule Konzentration - Der Aufmerksamkeitstrainer,3,Nintendo DS,Educational,2010-09-01
Lernerfolg Grundschule Mathematik,3,Nintendo DS,Educational,2008-10-16
Lernerfolg Grundschule Mathematik,3,Nintendo DS,Educational,2011-06-10
Lernerfolg Grundschule Mathematik,3,Nintendo Wii,Educational,2010-10-15
Lernerfolg Grundschule Mathematik Klasse 1,3,Nintendo Wii – WiiWare,Educational,2010-03-01
Lernerfolg Grundschule Mathematik Klasse 2,3,Nintendo Wii – WiiWare,Educational,2011-03-01
Lernerfolg Grundschule Mathematik Klasse 3,3,Nintendo Wii – WiiWare,Educational,2011-03-01
Lernerfolg Grundschule Mathematik Klasse 4,3,Nintendo Wii – WiiWare,Educational,2011-03-01
Lernerfolg Grundschule Mathematik intensiv,3,Nintendo DS,Educational,2009-10-15
"Lernerfolg Grundschule Mathematik, Klasse 2",3,Nintendo DSi - DSiWare,Educational,2011-03-28
"Lernerfolg Grundschule Mathematik, Klasse 3",3,Nintendo DSi - DSiWare,Educational,2011-03-28
"Lernerfolg Grundschule Mathematik, Klasse 4",3,Nintendo DSi - DSiWare,Educational,2011-03-28
Lernerfolg Grundschule Musik - Little Amadeus,3,Nintendo DS,Educational,2010-09-01
Lernerfolg Grundschule: Power Mathe,3,Nintendo Wii,Educational,2010-10-01
"Lernerfolg Grunschule Mathematik, Klasse 1",3,Nintendo DSi - DSiWare,Educational,2011-03-28
Lernerfolg Vorschule - Capt'n Sharky,3,Nintendo DS,Educational,2009-11-19
Lernerfolg Vorschule - Capt'n Sharky,3,PC,Educational,2010-11-25
Lernerfolg Vorschule - Capt'n Sharky (Neue Version),3,Nintendo DS,Educational,2011-11-10
Lernerfolg Vorschule - Capt'n Sharky (Neue Version),3,PC,Educational,2011-10-20
Lernerfolg Vorschule - Prinzessin Lillifee,3,Nintendo DS,Educational,2010-11-04
Lernerfolg Vorschule - Prinzessin Lillifee,3,PC,Educational,2010-11-25
Lernerfolg Vorschule - Prinzessin Lillifee (Neue Version),3,Nintendo DS,Educational,2011-11-10
Lernerfolg Vorschule - Prinzessin Lillifee (Neue Version),3,PC,Educational,2011-10-20
Les 9 destins de Valdo,3,PC,Adventure,2004-06-10
Les Aventures de Tintin : Le Secret de la Licorne - Le Jeu,12,Plug and Play,Action,2012-06-15
Les Enquêtes de Nancy Drew : Danger au Coeur de la Mode,7,PC,Adventure,2006-10-13
Les Enquêtes de Nancy Drew : Dernier Train pour Blue Moon Canyon,7,PC,Adventure,2007-03-16
Les Enquêtes de Nancy Drew : Le Mystère de l'Horloge,7,PC,Adventure,2006-04-14
Les Incollables CE1 + CE2,3,Nintendo DS,Educational,2008-04-18
Les Incollables CM1 + CM2,3,Nintendo DS,Educational,2008-04-18
Les Incollables CP,3,Nintendo DS,Educational,2009-05-15
Les Misérables: Cosette's Fate,12,PC,Puzzle,2013-01-14
Les aventures de T'choupi à l'école,3,Nintendo DS,Educational,2014-02-04
Les saisons de Petit Ours Brun,3,PC,Racing,2000-05-29
Let Them Come,16,PlayStation 4,Other,2017-07-25
Let Them Come,16,Xbox One,Other,2017-07-24
Let's CATCH,3,Nintendo Wii – WiiWare,Sports,2009-06-12
Let's Cheer,3,XBox 360,Music / Dance,2011-11-25
Let's Create! Pottery,3,Nintendo DSi - DSiWare,Sports,2011-03-31
Let's Create! Pottery,3,Nintendo Wii,Strategy,2012-01-07
Let's DRAW!,3,Nintendo DS,Educational,2010-03-31
Let's Dance with Mel B,12,Nintendo Wii,Music / Dance,2011-05-18
Let's Dance with Mel B,12,Playstation 3,Music / Dance,2011-05-18
Let's Dance with Mel B,12,XBox 360,Music / Dance,2011-05-18
Let's Fish! Hooked On,3,PlayStation Vita,Sports,2012-11-28
Let's Golf,3,Sony PSP Go,Sports,2009-12-03
Let's Golf !,3,Nintendo DSi - DSiWare,Sports,2010-02-28
Let's Make a Soccer Team!,3,Playstation 2,Sports,2006-08-25
Let's Party,3,Nintendo Wii,Other,2010-03-04
Let's Play Fashion Designer,3,Nintendo DS,Simulation,2008-11-28
Let's Play Firemen,3,Nintendo DS,Simulation,2008-11-28
Let's Play Journalists,3,Nintendo DS,Simulation,2009-11-27
Let's Play Mums,3,Nintendo DS,Simulation,2008-11-28
Let's Play Pet Hospitals,3,Nintendo DS,Simulation,2008-11-28
Let's Play Pet Hospitals,3,PC,Simulation,2008-11-28
Let's Play Schools,3,Nintendo DS,Simulation,2008-11-28
Let's Play Shops,3,Nintendo DS,Simulation,2008-11-28
Let's Ride,3,PC,Adventure,2008-03-28
Let's Ride! Silver Buckle Stables,3,Playstation 2,Adventure,2008-02-15
Let's Ride: Corral Club,3,PC,Sports,2009-02-18
Let's Sing,12,Nintendo Wii,Music / Dance,2012-11-16
Let's Sing,12,PC,Music / Dance,2013-12-12
Let's Sing 2014,12,Nintendo Wii,Music / Dance,2013-11-08
Let's Sing 2015,12,Nintendo Wii,Music / Dance,2014-10-31
Let's Sing 2017,12,Nintendo Wii,Music / Dance,2016-10-14
Let's Sing 2017 Hits Français & Internationaux,12,Nintendo Wii,Music / Dance,2016-10-14
Let's Sing 2017 Hits Français & Internationaux,12,PlayStation 4,Music / Dance,2016-10-14
Let's Sing 2017 Hits Français & Internationaux,12,Xbox One,Music / Dance,2016-10-14
Let's Sing 2017 mit deutschen Hits,12,Nintendo Wii,Music / Dance,2016-10-14
Let's Sing 2017 mit deutschen Hits,12,PlayStation 4,Music / Dance,2016-10-14
Let's Sing 5 Versión Española,12,Nintendo Wii,Music / Dance,2012-11-15
Let's Sing 6 Versión Española,12,Nintendo Wii,Music / Dance,2013-11-08
Let's Sing 7 Versión Espanola,12,Nintendo Wii,Music / Dance,2014-10-31
Let's Sing 8 Versión Espanola,12,Nintendo Wii,Music / Dance,2015-09-25
Let's Sing 8 Versión Espanola,12,PlayStation 4,Music / Dance,2015-09-25
Let's Sing 9 - Versión Española,12,Nintendo Wii,Music / Dance,2016-10-14
Let's Sing 9 - Versión Española,12,PlayStation 4,Music / Dance,2016-10-14
Let's Sing @ Radio Italia,12,Nintendo Wii,Music / Dance,2013-11-08
Let's Sing And Dance,12,XBox 360,Music / Dance,2013-05-29
Let's Sing PC,12,PC,Music / Dance,2014-11-27
Let's Swing,3,Nintendo DSi - DSiWare,Sports,2010-10-22
Let's Tap,3,Nintendo Wii,Other,2009-06-12
Let's Yoga,3,Nintendo DS,Educational,2007-11-22
Lethal League,12,PlayStation 4,Action,2017-01-25
Lethal League,12,Xbox One,Action,2017-01-25
Lethal Skies 2,12,Playstation 2,Simulation,2004-02-15
Lethal VR,7,PC,Action,2016-12-06
Lethal VR,7,PlayStation 4,Action,2016-12-06
Letter Quest: Grimm's Journey Remastered,3,PlayStation Vita,Puzzle,2016-03-23
Letter Quest: Grimm's Journey Remastered,3,Xbox One,Puzzle,2016-03-18
Letters from Nowhere 2,7,PC,Adventure,2012-10-05
Let’s Sing 2016,12,Nintendo Wii,Music / Dance,2015-10-23
Let’s Sing 2016,12,PlayStation 4,Music / Dance,2015-10-23
Let’s Sing 2016,12,Xbox One,Music / Dance,2015-10-23
Let’s Sing 2016 : Hits français,12,Nintendo Wii,Music / Dance,2015-11-06
Let’s Sing 2016 : Hits français,12,PlayStation 4,Music / Dance,2015-11-06
Level 22,12,Nintendo Wii U,Puzzle,2015-09-15
Level 22,12,Xbox One,Adventure,2015-11-05
Leviathan: Warships,7,PC,Strategy,2013-04-30
Leçons de jardinage,3,Nintendo DS,Other,2009-05-29
"LiPS (Danish, Finish, Norwegian and Swedish version)",12,XBox 360,Music / Dance,2008-10-08
LiPS (English version),12,XBox 360,Music / Dance,2008-10-08
LiPS (Italian version),12,XBox 360,Music / Dance,2008-10-08
LiPS (Spanish version),12,XBox 360,Music / Dance,2008-10-08
"LiPS (Swiss, Austrian and Luxembourgian version)",12,XBox 360,Music / Dance,2008-10-08
LiPS Number One Hits,12,XBox 360,Music / Dance,2009-10-20
Libera Wing,7,Nintendo DSi - DSiWare,Strategy,2009-11-25
Liberation Maiden,12,Nintendo 3DS,Action,2012-10-25
Lichdom: Battlemage,16,PlayStation 4,Action,2016-03-22
Lichdom: Battlemage,16,Xbox One,Action,2016-03-22
Lichtspeer,16,PlayStation 4,Action,2016-09-14
Lichtspeer,16,PlayStation Vita,Action,2017-03-28
Lieferwagen-Simulator 2010,3,PC,Simulation,2010-06-25
Lies of Astaroth,7,Xbox One,Board / Card,2016-09-15
Life Force,3,Nintendo 3DS,Action,2013-12-19
Life Goes On: Done to Death,12,PlayStation 4,Action,2016-05-17
Life Is Strange,16,PC,Adventure,2016-01-19
Life Is Strange,16,PlayStation 4,Adventure,2016-01-19
Life Is Strange,16,Xbox One,Adventure,2016-01-19
Life Is Strange Episode 1,16,PC,Adventure,2015-01-28
Life Is Strange Episode 1,16,PlayStation 4,Adventure,2015-01-28
