game,rating,platform,genre,release
2006 FIFA WORLD CUP,3,Playstation 2,Sports,2006-05-04
2006 FIFA WORLD CUP,3,Sony PSP,Sports,2006-05-04
2006 FIFA WORLD CUP,3,XBox,Sports,2006-05-04
2006 FIFA WORLD CUP,3,XBox 360,Sports,2006-05-04
2013: Infected Wars,18,PlayStation Vita,Action,2015-06-04
202 GAME COLLECTION,3,PC,Other,2003-10-30
2020 Super Baseball,7,Nintendo Wii,Sports,2012-08-23
2048,3,Nintendo 3DS,Puzzle,2014-05-30
2064: Read Only Memories,16,PlayStation 4,Adventure,2016-09-27
2064: Read Only Memories,16,PlayStation Vita,Adventure,2016-09-27
20Q,3,PlayStation Network,Other,2011-05-19
21 Card Games,3,Playstation 2,Board / Card,2005-08-12
21: Blackjack,12,Nintendo DSi - DSiWare,Board / Card,2011-12-01
24: The Game,16,Playstation 2,Action,2005-10-26
25 To Life,18,Playstation 2,Action,2007-06-29
"25,000 Kakuro Puzzles",3,PC,Puzzle,2006-03-28
"25,000 Sudoku Puzzles",3,PC,Puzzle,2005-08-15
25.000 Sudoku Puzzels,3,PC,Puzzle,2007-11-07
2Dark,18,PC,Adventure,2017-02-03
2Dark,18,PlayStation 4,Adventure,2017-02-03
2Dark,18,Xbox One,Adventure,2017-02-03
2PuzzleIt - Fantasy,3,Nintendo DSi - DSiWare,Puzzle,2010-07-09
2weistein - Das Geheimnis des roten Drachen,7,PC,Educational,2008-09-04
3 Days Zoo Mystery,3,PC,Other,2009-11-06
3 Heroes - Crystal Soul,3,Nintendo DSi - DSiWare,Strategy,2012-01-01
3 days Amulet Secret,3,PC,Puzzle,2011-01-05
3 on 3 NHL ARCADE,12,PlayStation Network,Sports,2009-02-05
3 on 3 NHL ARCADE,12,XBOX 360 Live Arcade,Sports,2009-02-04
"3, 2, 1... WordsUp!",3,Nintendo DSi - DSiWare,Educational,2012-05-02
"3-2-1, Rattle Battle!",7,Nintendo Wii – WiiWare,Other,2009-05-26
300: March to Glory,18,Sony PSP,Action,2007-03-30
303 Pets,3,PC,Other,2008-04-15
32nd America's Cup - Le Jeu / Virtual Skipper 5,3,PC,Sports,2007-04-20
3D Afterburner 2,7,Nintendo 3DS,Action,2015-01-02
3D Altered Beast,12,Nintendo 3DS,Action,2013-06-05
3D Classic Collection,7,Nintendo 3DS,Other,2016-11-04
3D Classics Excitebike,3,Nintendo 3DS,Racing,2011-06-07
3D Classics Kid Icarus,7,Nintendo 3DS,Action,2012-01-05
3D Classics Kirby's Adventure,3,Nintendo 3DS,Action,2011-11-17
3D Classics Twinbee,3,Nintendo 3DS,Action,2011-09-22
3D Classics Urban Champion,7,Nintendo 3DS,Action,2011-08-18
3D Classics Xevious,3,Nintendo 3DS,Action,2011-07-21
3D Dot Game Heroes,7,Playstation 3,Adventure,2010-05-14
3D Ecco the Dolphin,7,Nintendo 3DS,Adventure,2013-06-05
3D Fantasy Zone,3,Nintendo 3DS,Action,2015-01-15
3D Fantasy Zone 2,3,Nintendo 3DS,Action,2015-04-16
